Brief,Category,Clients,Status,Lead,Level of effort,Start date,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback,End date,Region,Reason for matching
Home sustainability (smoke test),Research & Insight,Aviva,5. Archived,Phil Kohler,Medium (5-10 hours),27/6/2022,Good Innovation,Good Innovation,,10,10,10,10,"Good Innovation were really engaged, showed a lot of passion and knowledge",10,10,,Simon Burckitt,,UK,
MOCO marketing Jul-Oct extension,Social & Content,Aviva,5. Archived,Peter Sayburn,Low (1-5 hours),1/7/2022,Buddy Media,Buddy Media,,9,10,10,10,"BuddyMedia have been great to work with - they have provided us with excellent value creative, management and analysis not to mention taking us by the hand and getting Aviva onto TikTok, using influencers and UGC!  It's been a really solid partnership where Buddy have challenged us on things, and we have listened to their expertise. I think the only area where things got sticky was around sign off and tbh no matter what you say in advance, until you have been there, it's very challenging to appreciate just how hard & slow it is getting things stamped off in Aviva and credit Buddy, they dealt with it all the extra asks with great grace! Its been a blast and I have been singing their praises to everyone that will listen!",10,10,"Been more than happy with Studiospace - love the business model and the results it delivers, thank you ",Kate Robinson,28/10/2022,UK,
Life QtB journey optimisation,Strategic Design,Aviva,5. Archived,Phil Kohler,Medium (5-10 hours),4/7/2022,"G-W,NMD+,Shoreditch Design Studio",Shoreditch Design Studio,"Ed & Helen,Ed and Helen,Ed and Helen",10,10,10,10,"Friendly collaboration service from a great team who produced high quality designs which met the brief well. Great work, and would definitely recommend.

One lesson I learned from the project was that Aviva tends to want to use Aviva approved UX research firms, when dealing with users / customers. We didn't understand this at the outset of the project, which introduced unexpected cost and delays (as we had to change from Shoreditch's original agency). The knock-on impact of the delay was that the project tripped over the intended end date, and into holiday season (and likely into other commitments Shoreditch had). It's meant the project has taken a while to reach concrete conclusion. This is a learning Aviva colleagues should take on board, so that we can better prepare for UX research, and in turn help both Aviva and our partners to better estimate costs and end dates.",10,10,,Ed Leigh,,UK,
DW - Pension Consolidation journey design,Proposition Design,Aviva,5. Archived,Phil Kohler,Medium (5-10 hours),11/7/2022,"Nimbletank,NMD+,Shoreditch Design Studio",NMD+,"Laura Bunting,Laura Bunting,Laura Bunting",10,10,10,10,,,,Test,,,UK,
Innovation smoke tests,Research & Insight,Aviva,5. Archived,Phil Kohler,Medium (5-10 hours),11/7/2022,Shoreditch Design Studio,Shoreditch Design Studio,,10,10,10,10,"Excellent, flexible, creative and helped us push our ideas further, was a fully collaborative experience. Wasn't just we say and they do. ",10,10,,Anna Herdman,,UK,
Social and web plan,Social & Content,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),18/7/2022,"NMD+,Polar Media House",NMD+,,,,,,,,,,,,UK,
MyAviva Engagement,UX/UI Design,Aviva,5. Archived,Phil Kohler,Medium (5-10 hours),25/7/2022,"Nimbletank,UNPITCHD,Frontier",UNPITCHD,"Paul Welsh,Paul Welsh",9,9,9,9,"Great output, but came quite late in the game, although there were lots of people involved not always sure what they were doing. Also not sure how much they had worked with clients who were well versed in innovation and design thinking but there was quite a lot of show and tell as opposed to working time. Most of the feedback has been given to the team directly but would recommend them and work with them again. ",10,10,,Anna Herdman,9/9/2022,UK,
DW Personas,Research & Insight,Aviva,5. Archived,Phil Kohler,Medium (5-10 hours),1/8/2022,"NMD+,I-AM,Blicx",Blicx,,,,,,,,,,,10/10/2022,UK,
Investor application journey,UX/UI Design,Aviva,5. Archived,Paul Bowman,Low (1-5 hours),1/8/2022,Shoreditch Design Studio,Shoreditch Design Studio,,8,8,9,10,"Andrew @ Shoreditch and his team were able to accept our brief and begin work at very short notice. They were happy to work for us on risk until we completed the procurement process as not to jeopardise our critical timelines which was appreciated. An ask of our brief was to develop an innovate and market leading onboarding journey to support our internal strategy for growth and improve organic conversion. We asked this to be developed agnostic of our internal constraints so we could see a blue-sky journey to aspire to.  The team researched competitor journeys for us, provided side by side comparisons of questions we ask that competitors don't (to promote a more frictionless journey), gave recommendations on improved features (e.g. payment method) and provided high fidelity designs to pass onto our build teams. They also resolved blockages with lead times for consumer research and offered to facilitate this themselves, which i was supportive of and appreciated.  Considering the very tight window I considered the output to be of high quality.  They worked closely with SMEs on the Aviva side to deliver. ",10,10,I went to Studiospace requiring urgent UX research. They were able to arrange for an agency to meet with me the same day for me to provide a brief and quote on the work.,Craig Lutkin,31/8/2022,UK,
OneAviva Narrative,Brand Strategy,Aviva,5. Archived,Phil Kohler,Medium (5-10 hours),8/8/2022,Rip + Tear,Rip + Tear,,9,9,10,10,"Rapid, responsive and good quality output",9,9,,Paul Wilson,26/8/2022,UK,
