Brief,Category,Clients,Status,Level of effort,Shortlisted Agencies,Winning Agency,Pitch Feedback Form,Quality: How would you rate the quality of delivery against your brief?,Value: How would you rate the agency in terms of value for money?,Chemistry: How would you rate the quality of the team and service you received?,Overall: How likely would you be to recommend this agency to your network and colleagues?,Would you like to share any other project feedback to the agency?,Studiospace: How would you rate your overall experience of working with Studiospace?,Overall: How likely would be to recommend  Studiospace to your network and colleagues?,Would you like to share any feedback to Studiospace?,Client Feedback
Group Life Content,Social & Content,Aviva,5. Archived,High (10+ hours),"Notepad Studio,Orange Panther Collective,2050London",Orange Panther Collective,,7,6,5,3,"- Slow
- Projects seem to be handed off to external artworkers etc who then don't understand the brief/brand/agreements
- Basic creative skills - didn't always embrace the brand/feedback and some elements felt like we were having to give basic feedback / spoon feed amends  
- Poor communication
- Numerous deadlines missed
- The strategy was great, the delivery was hard going - we would never have met the original urgent timescales
- We've ended up with some great assets but the slog to get there has seriously affected view of the agency
- Lovely people - just doesn't feel right for Aviva ",7,7,Feels like an initial hand off/intro to agencies then no more interaction,Rachel Lovell
DW Retained Squad,UX/UI Design,Aviva,5. Archived,High (10+ hours),"Hedgehog Lab,xDesign",Hedgehog Lab,Emma Quinn,,,,,,,,,
PRIS Video Production,Creative & Production,Aviva,5. Archived,Low (1-5 hours),Viewpoint Studios,Viewpoint Studios,,,,,,,,,,
SHIRO follow on,UX/UI Design,Aviva,5. Archived,Low (1-5 hours),Shoreditch Design Studio,Shoreditch Design Studio,,8,8,8,8,"The design work was great, however the user testing was not as great and we ended having to do a lot of it, which hadn't been anticipated.  ",10,10,,Anna Herdman
Customer Engagement Triggers,CRM & Loyalty,Aviva,5. Archived,Low (1-5 hours),"GH05T Ltd.,Reed Words",Reed Words,,,,,,,,,,
Financial Wellbeing,UX/UI Design,Aviva,5. Archived,Medium (5-10 hours),"xDesign,Shoreditch Design Studio,Loomery",xDesign,,,,,,,,,,
MOCO Marketing (November/December),Social & Content,Aviva,5. Archived,Low (1-5 hours),Buddy Media,Buddy Media,,,,,,,,,,
Game of Risk,UX/UI Design,Aviva,5. Archived,Medium (5-10 hours),Innovate Live,Innovate Live,,7,8,8,8,"The team were great, really fun and some pretty great outputs / concepts explored. I would say the team need to work on their polish and the things that sit around the actual game development. E.g. How they playback, production of deliverables, putting in meetings etc. Although these things were fine, but it felt like Innovate Live were new to this and working with a big corporate. I think if they wanted to get more work in this space it would be key for them to upskill in these areas as they will often work with stakeholders who are not as passionate about gaming like ourselves. ",10,10,Love the scope the brief sessions! ,Anna Herdman
MOCO content ,Social & Content,Aviva,5. Archived,Low (1-5 hours),Buddy Media,Buddy Media,,,,,,,,,,
Brand Escape Room Design,Brand Strategy,Aviva,5. Archived,Low (1-5 hours),"S+Co,The Park,Innovate Live",Innovate Live,,,,,,,,,,
Aviva Advisor Prop Messaging,Copywriting,Aviva,5. Archived,Low (1-5 hours),Reed Words,Reed Words,,10,10,10,10,"From start to finish, Jade and Sam have been fantastic! They understood what we needed, challenged us and have ultimately delivered content that we're super happy with.",10,10,,Emma Lowen
